nome,cpf,cns,nome da mae,data de nascimento,logradouro,numero,bairro,cidade,estado,cep,complemento
Teste de importacao,11256821792,251677910780036,mae do usuario de teste,2000-02-06,rua teste,159,bairro teste,cidade teste,SP,1001036,lote D
Teste de importacao,11256821793,251677910780037,mae do usuario de teste,2000-02-07,rua teste,160,bairro teste,cidade teste,SP,1001037,lote D
Teste de importacao,11256821794,251677910780038,mae do usuario de teste,2000-02-08,rua teste,161,bairro teste,cidade teste,SP,1001038,lote D
Teste de importacao,11256821795,251677910780039,mae do usuario de teste,2000-02-09,rua teste,162,bairro teste,cidade teste,SP,1001039,lote D
Teste de importacao,11256821796,251677910780040,mae do usuario de teste,2000-02-10,rua teste,163,bairro teste,cidade teste,SP,1001040,lote D
Teste de importacao,11256821797,251677910780041,mae do usuario de teste,2000-02-11,rua teste,164,bairro teste,cidade teste,SP,1001041,lote D
Teste de importacao,11256821798,251677910780042,mae do usuario de teste,2000-02-12,rua teste,165,bairro teste,cidade teste,SP,1001042,lote D
Teste de importacao,11256821799,251677910780043,mae do usuario de teste,2000-02-13,rua teste,166,bairro teste,cidade teste,SP,1001043,lote D
Teste de importacao,11256821800,251677910780044,mae do usuario de teste,2000-02-14,rua teste,167,bairro teste,cidade teste,SP,1001044,lote D
Teste de importacao,11256821801,251677910780045,mae do usuario de teste,2000-02-15,rua teste,168,bairro teste,cidade teste,SP,1001045,lote D
Teste de importacao,11256821802,251677910780046,mae do usuario de teste,2000-02-16,rua teste,169,bairro teste,cidade teste,SP,1001046,lote D
Teste de importacao,11256821803,251677910780047,mae do usuario de teste,2000-02-17,rua teste,170,bairro teste,cidade teste,SP,1001047,lote D
Teste de importacao,11256821804,251677910780048,mae do usuario de teste,2000-02-18,rua teste,171,bairro teste,cidade teste,SP,1001048,lote D
Teste de importacao,11256821805,251677910780049,mae do usuario de teste,2000-02-19,rua teste,172,bairro teste,cidade teste,SP,1001049,lote D
